fold,accuracy,macro_f1,f1_SAFE,f1_DANGEROUS,f1_INJECTION
1,0.9894625922023182,0.9840141477702362,0.9966159052453468,0.9830508474576272,0.9723756906077348
2,0.9915700737618546,0.9884187696793908,0.9957591178965225,0.9915966386554622,0.9779005524861878
3,0.9905163329820864,0.9871755780672342,0.9949066213921901,0.9916897506925207,0.9749303621169917
4,0.9915611814345991,0.9884163675938041,0.9957519116397621,0.9915966386554622,0.9779005524861878
5,0.9873417721518988,0.9841712737229903,0.9915110356536503,0.9916434540389972,0.9693593314763231
